order_id,customer_id,product_id,timestamp,channel,geo_region,discount_amount,is_return
500000,5179,1388,2025-01-16 02:36:11,Web,US-East,0,0
500001,3249,1279,2025-12-05 11:28:19,App,US-Midwest,0,1
500002,2630,1478,2025-12-07 02:04:46,Retail,APAC-North,0,0
500003,10853,1102,2025-07-19 21:06:46,App,US-West,5,0
500004,4852,1077,2025-08-13 00:35:02,Web,US-Midwest,0,0
500005,2987,1390,2025-02-19 10:10:25,App,APAC-North,0,0
500006,9622,1202,2025-02-12 02:49:05,Web,US-Midwest,0,0
500007,9327,1055,2025-10-21 08:45:44,App,US-Midwest,0,0
500008,11738,1209,2025-10-23 06:45:03,Web,US-Midwest,20,0
500009,10841,1392,2025-11-17 21:57:00,Web,US-East,0,0
500010,11160,1329,2025-02-12 11:53:52,Web,US-Midwest,0,1
500011,3100,1354,2025-12-31 00:24:05,Web,US-West,0,0
500012,8652,1081,2025-06-26 01:23:34,Web,EU-West,0,0
500013,10632,1244,2025-01-02 17:49:18,App,US-Midwest,0,0
500014,9421,1235,2025-11-06 00:25:44,App,US-Midwest,0,0
500015,7016,1114,2025-07-03 02:53:22,App,APAC-North,0,1
500016,2769,1470,2025-06-17 07:36:56,Web,US-West,0,0
500017,3343,1448,2025-03-22 04:44:22,App,APAC-North,0,1
500018,6358,1067,2025-03-15 19:35:32,App,US-East,5,0
500019,11769,1297,2025-08-01 13:58:51,Web,US-East,20,0
500020,8780,1040,2025-01-05 06:17:24,Web,US-West,0,0
500021,8602,1221,2025-10-27 16:53:26,App,EU-West,5,0
500022,4349,1103,2025-02-01 04:02:49,App,EU-West,0,1
500023,7699,1411,2025-04-15 06:19:33,App,EU-West,0,0
500024,3241,1295,2025-05-20 20:41:27,Web,APAC-North,0,0
500025,3125,1053,2025-02-09 16:43:21,Web,APAC-North,20,1
500026,11382,1296,2025-08-20 18:15:20,Web,US-East,0,0
500027,8764,1052,2025-09-17 15:31:49,Web,EU-West,5,1
500028,7101,1037,2025-01-14 14:46:42,App,APAC-North,5,0
500029,9843,1067,2025-03-22 01:35:55,Web,US-West,0,0
500030,2072,1403,2025-03-28 04:32:24,App,US-Midwest,0,0
500031,7472,1162,2025-09-10 13:44:30,Web,APAC-North,0,0
500032,100105,1206,2025-05-11 03:20:49,Web,US-Midwest,10,0
500033,7189,1341,2025-09-10 05:34:44,Web,APAC-North,10,0
500034,4472,1322,2025-06-10 04:02:54,App,APAC-North,10,1
500035,2707,1394,2025-01-12 03:15:37,Retail,EU-West,5,0
500036,3804,1052,2025-12-29 00:54:04,App,US-Midwest,0,0
500037,8704,1426,2025-05-07 14:43:13,Web,US-West,5,1
500038,5713,1444,2025-10-06 04:07:57,Retail,US-West,5,0
500039,7051,1209,2025-10-02 12:29:09,Web,US-West,10,0
500040,4475,1002,2025-12-06 05:00:43,Web,US-West,0,0
500041,5610,1475,2025-10-24 21:30:17,App,US-West,0,0
500042,6255,1129,2025-07-31 10:01:26,Retail,US-East,0,1
500043,9397,1178,2025-08-02 17:10:57,App,EU-West,20,0
500044,3735,1164,2025-04-09 05:31:14,Web,US-West,5,0
500045,11777,1353,2025-02-24 02:27:09,Web,APAC-North,0,0
500046,10258,1022,2025-05-12 13:57:24,Web,US-Midwest,0,1
500047,9979,1369,2025-04-27 10:19:36,App,US-Midwest,0,0
500048,4428,1227,2025-10-07 16:27:58,Web,EU-West,10,0
500049,9426,1482,2025-03-04 22:45:58,App,US-West,10,0
500050,10533,1082,2025-07-30 22:57:18,App,US-East,0,0
500051,7249,1164,2025-02-10 23:28:27,Web,US-East,0,0
500052,7291,1377,2025-03-08 08:53:31,Web,US-West,5,0
500053,4817,1003,2025-10-04 12:42:42,Web,EU-West,0,0
500054,11424,1172,2025-09-12 02:50:49,Web,US-Midwest,0,1
500055,5874,1118,2025-07-19 07:27:31,App,US-West,0,1
500056,11686,1144,2025-05-24 09:08:22,App,US-Midwest,0,1
500057,6211,1252,2025-05-06 16:54:40,Web,US-Midwest,0,0
500058,2661,1395,2025-12-16 13:28:51,App,EU-West,0,1
500059,100059,1266,2025-01-27 07:41:34,App,EU-West,0,1
500060,5374,1435,2025-06-15 04:13:36,Web,EU-West,10,0
500061,11208,1170,2025-07-20 12:05:01,Web,APAC-North,0,0
500062,2207,1213,2025-04-11 22:06:44,Web,US-Midwest,20,1
500063,4665,1281,2025-01-09 20:29:15,Web,APAC-North,5,1
500064,4493,1227,2025-05-03 01:32:59,App,US-West,0,0
500065,8813,1376,2025-01-02 21:09:37,App,APAC-North,0,0
500066,2632,1262,2025-08-27 03:42:48,App,US-East,0,1
500067,100293,1366,2025-09-25 00:38:04,Web,US-Midwest,0,1
500068,5083,1255,2025-02-18 23:35:14,Web,US-Midwest,0,0
500069,100122,1428,2025-04-04 17:39:23,Web,APAC-North,0,1
500070,5719,1008,2025-07-31 05:11:35,Web,US-Midwest,0,0
500071,9123,1418,2025-05-08 15:57:49,Web,US-West,5,0
500072,3679,1041,2025-10-27 08:10:15,App,EU-West,5,1
500073,2236,1366,2025-03-28 17:44:08,App,APAC-North,0,0
500074,9446,1257,2025-12-24 07:08:43,Web,US-Midwest,0,1
500075,6443,1131,2025-03-04 11:22:26,App,EU-West,0,0
500076,8770,1052,2025-12-26 16:52:34,App,US-East,10,0
500077,11732,1102,2025-06-22 11:30:13,App,US-East,0,0
500078,8099,1219,2025-03-22 07:53:26,Web,APAC-North,20,1
500079,10555,1244,2025-09-11 08:50:35,Web,EU-West,10,1
500080,4368,1333,2025-01-25 19:38:19,Web,US-East,5,0
500081,2285,1427,2025-06-17 12:21:20,Web,APAC-North,0,0
500082,2148,1303,2025-05-14 02:04:02,Web,APAC-North,0,0
500083,6037,1370,2025-03-10 13:22:56,Retail,US-East,5,0
500084,8549,1339,2025-04-04 00:37:22,App,US-Midwest,0,0
500085,9121,1275,2025-05-15 01:54:43,App,US-West,10,0
500086,11958,1070,2025-08-30 01:58:50,Web,US-Midwest,5,0
500087,6895,1047,2025-02-12 09:45:17,Web,US-West,0,0
500088,7280,1117,2025-03-31 09:00:53,Web,EU-West,0,1
500089,3012,1078,2025-10-30 16:32:29,App,US-East,5,0
500090,11715,1005,2025-03-29 12:18:44,Web,APAC-North,0,0
500091,4785,1254,2025-02-23 23:52:58,Web,US-Midwest,5,0
500092,5725,1320,2025-06-10 19:45:09,Web,EU-West,0,0
500093,6576,1107,2025-10-15 23:36:12,Web,US-Midwest,0,1
500094,7782,1244,2025-09-30 05:55:52,App,APAC-North,5,0
500095,8257,1173,2025-04-30 22:38:08,Web,APAC-North,0,0
500096,11793,1448,2025-04-12 16:28:30,Web,APAC-North,0,0
500097,4408,1429,2025-01-28 14:27:41,App,EU-West,20,0
500098,2340,1036,2025-05-22 14:18:54,App,EU-West,5,0
500099,4817,1393,2025-12-02 21:15:40,Web,EU-West,10,0
500100,4496,1407,2025-06-26 01:26:42,App,US-East,0,0
500101,7962,1416,2025-09-19 10:55:25,App,US-East,0,0
500102,7299,1477,2025-02-28 04:51:51,Web,US-East,0,1
500103,11917,1173,2025-10-07 23:33:28,App,US-West,0,0
500104,9574,1412,2025-12-16 16:42:34,App,US-East,0,0
500105,3689,1488,2025-11-22 17:47:13,App,US-Midwest,0,0
500106,5267,1180,2025-12-12 23:51:09,App,US-Midwest,5,0
500107,6406,1267,2025-12-31 09:03:21,Web,APAC-North,0,1
500108,10453,1255,2025-08-17 13:19:32,App,US-East,0,1
500109,3442,1403,2025-02-05 00:50:04,Web,US-East,5,0
500110,10597,1320,2025-07-28 03:31:11,Web,APAC-North,0,0
500111,100381,1321,2025-12-19 05:26:58,App,US-West,0,1
500112,6437,1073,2025-04-04 03:05:13,Web,US-Midwest,0,0
500113,7435,1057,2025-02-13 16:03:13,Web,US-East,0,0
500114,10435,1066,2025-05-30 14:15:40,App,EU-West,0,0
500115,6107,1132,2025-11-24 01:07:07,Web,APAC-North,10,1
500116,2560,1413,2025-02-08 21:51:38,Web,US-Midwest,0,0
500117,10785,1260,2025-08-03 13:40:58,App,US-Midwest,10,0
500118,7548,1124,2025-10-20 19:16:24,Retail,US-West,0,0
500119,3826,1385,2025-10-01 23:45:24,Web,APAC-North,0,1
500120,9629,1092,2025-10-03 11:22:19,Retail,US-Midwest,0,0
500121,10325,1274,2025-11-05 20:51:12,Web,US-East,20,0
500122,5138,1494,2025-11-16 22:25:23,Web,US-Midwest,0,1
500123,9693,1141,2025-02-27 07:11:44,Web,US-Midwest,0,0
500124,10264,1232,2025-09-10 21:42:28,App,EU-West,0,0
500125,9842,1070,2025-03-13 20:56:43,App,US-Midwest,0,0
500126,8721,1433,2025-06-12 18:37:30,Web,EU-West,0,1
